Kreuztabelle Chemie Mittelwerte.xlsx 04.06.2025 10:36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Suchkriterien:
 4.879 Messstellen ausgewählt 
Vorkommen chemischer Messwerte im Zeitraum: 2022 - 2025 
Probengut: Wasser 
Matrix: Wasser (filtriert, nicht filtriert, berechnet)
       Wasser, filtriert
       Wasser, nicht filtriert
       berechnete Wasserwerte 
227 Stoffe ausgewählt";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Messstellennummer;Messstellenname;Gewässername;Gewässerkennzahl;Stationierung [km];Ostwert in UTM;Nordwert in UTM;Kalenderjahr;Probengut;Matrix;Clofibrinsäure [µg/l];Ibuprofen [µg/l];Diclofenac [µg/l];Naproxen [µg/l];Gemfibrozil [µg/l];Fenofibrinsäure [µg/l];Indomethacin [µg/l];Bezafibrat [µg/l];Phenazon [µg/l];Diazepam [µg/l];Bisoprolol [µg/l];Metoprolol [µg/l];Propranolol [µg/l];Carbamazepin [µg/l];Sulfadimidin [µg/l];b-Estradiol [µg/l];Estron [µg/l];Sulfamethoxazol [µg/l];Ethinylestradiol [µg/l];Azithromycin [µg/l];Clarithromycin [µg/l];Clindamycin [µg/l];Erythromycin [µg/l];Roxythromycin [µg/l];Trimethoprim [µg/l];Ofloxacin [µg/l];Atenolol [µg/l];Sotalol [µg/l];Sulfadiazin [µg/l];Sulfathiazol [µg/l];Sulfamerazin [µg/l];Sulfadoxin [µg/l];Sulfadimethoxin [µg/l];Propyphenazon [µg/l];Dihydrocodein [µg/l];Codein [µg/l];Oxazepam [µg/l];Temazepam [µg/l];N-Acetyl-Sulfamethoxazol [µg/l];Primidon [µg/l];Tramadol [µg/l];Metalaxyl-CA [µg/l];Atorvastatin [µg/l];Ritalinsäure [µg/l];Gabapentin [µg/l];Metformin [µg/l];Venlafaxin [µg/l];10,11-Dihydro-10,11-dihydroxycarbamazepin [µg/l];4-Formylaminoantipyrin [µg/l];4-Acetamidoantipyrin [µg/l];a-Estradiol [µg/l];16a,17b-Estriol [µg/l];Candesartan [µg/l];Dehydrato-Erythromycin A [µg/l];Valsartan [µg/l];Metronidazol [µg/l];Furosemid [µg/l];Clopidogrelsäure [µg/l];Imazalil [µg/l];Hydrochlorthiazid [µg/l];Pregabalin [µg/l];Lamotrigin [µg/l];Valsartansaeure [µg/l];Metoprololsaeure [µg/l];Amisulprid [µg/l];Losartan [µg/l];O-Desvenlafaxin [µg/l];Levetiracetam [µg/l];Lidocain [µg/l];Sitagliptin [µg/l];Telmisartan [µg/l];O,N-Didesmethylvenlafaxin [µg/l];N-Guanylharnstoff [µg/l];Citalopram [µg/l];Clotrimazol [µg/l];Fluconazol [µg/l];Progesteron [µg/l];Testosteron [µg/l];Dicyandiamin [µg/l];Ciprofloxacin [µg/l];Tolfenaminsäure [µg/l];Ketoprofen [µg/l];Nadolol [µg/l];Clenbuterol [µg/l];Salbutamol [µg/l];Fenoprofen [µg/l];Ampicillin [µg/l];Nafcillin [µg/l];Oxacillin [µg/l];Phenoxymethylpenicillin [µg/l];Cyclophosamid [µg/l];Paracetamol [µg/l];Timolol [µg/l];Indoprofen [µg/l];o-Hydroxyhippursäure [µg/l];Flurbiprofen [µg/l];Carprofen [µg/l];Tolbutamid [µg/l];Salicylsäure [µg/l];4-Aminoantipyrin [µg/l];Sulfapyridin [µg/l];Norfloxacin [µg/l];Ramipril [µg/l];4'-Hydroxydiclofenac [µg/l];Buflomedil [µg/l];Carbamazepin epoxid [µg/l];Irbesartan [µg/l];N-Desethylvardenafil [µg/l];Sulfamethoxazo-ß-D-Glucoronid [µg/l];Sulpirid [µg/l];Tadalafil [µg/l];Vardenafil [µg/l];Ranitidin [µg/l];Oxcarbazepin [µg/l];Fexofenadin [µg/l];Sildenafil [µg/l];N-Desmethylsildenafil [µg/l];Cefazolin [µg/l];2-Hydroxyibuprofen [µg/l];Amoxicillin [µg/l];Enrofloxacin [µg/l];Sulfamethizol [µg/l];RS-Miconazol [µg/l];RS-Verapamil [µg/l];Amantadin [µg/l]
B56, vor Landesgrenze;B56, vor Landesgrenze;Bocholter Aa;9282;7,073;325963;5747790;2023;Wasser;Wasser, nicht filtriert;0,012;0,012;0,070;0,021;0,012;0,012;0,012;0,012;0,024;0,012;0,018;0,054;0,012;0,062;0,012;0,000;0,000;0,041;0,000;;0,012;;0,012;0,012;0,012;;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,034;0,027;0,012;0,012;0,012;0,196;0,358;0,059;0,089;0,453;0,270;0,000;0,000;0,188;0,012;0,229;0,012;0,012;;;0,035;0,035;0,108;0,269;0,104;0,020;0,012;0,121;;;;;;;;;;0,000;0,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(R 220) OH MDG WESTIGER BACH;(R 220) OH MDG WESTIGER BACH;Oese;27648;8,073;414211;5693002;2022;Wasser;Wasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B56, vor Landesgrenze;B56, vor Landesgrenze;Bocholter Aa;9282;7,073;325963;5747790;2023;Wasser;Wasser;0,012;0,012;0,070;0,021;0,012;0,012;0,012;0,012;0,024;0,012;0,018;0,054;0,012;0,062;0,012;0,000;0,000;0,041;0,000;;0,012;;0,012;0,012;0,012;;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,034;0,027;0,012;0,012;0,012;0,196;0,358;0,059;0,089;0,453;0,270;0,000;0,000;0,188;0,012;0,229;0,012;0,012;;;0,035;0,035;0,108;0,269;0,104;0,020;0,012;0,121;;;;;;;;;;0,000;0,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(R 50) vor Mdg. in die Valme;(R 50) vor Mdg. in die Valme;Brabecke;276122;0,039;458512;5683406;2022;Wasser;Wasser, nicht filtriert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(R 50) vor Mdg. in die Valme;(R 50) vor Mdg. in die Valme;Brabecke;276122;0,039;458512;5683406;2022;Wasser;Wasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(L 116e) in Afferde;(L 116e) in Afferde;Massener Bach;2787664;1,568;406553;5713170;2023;Wasser;Wasser, nicht filtriert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(L 116e) in Afferde;(L 116e) in Afferde;Massener Bach;2787664;1,568;406553;5713170;2023;Wasser;Wasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bei Haus Kreuzfurth;bei Haus Kreuzfurth;Groesbeeker Bach;2799222;2,224;292172;5740586;2025;Wasser;Wasser;0,013;0,025;0,093;0,410;0,013;0,013;0,013;0,013;0,013;0,013;0,013;0,480;0,013;0,096;0,013;;;0,047;;;0,013;;0,013;0,013;0,013;;0,100;0,130;0,013;0,013;0,013;0,013;0,013;0,013;0,013;0,013;0,160;0,027;0,013;0,025;0,044;;0,033;0,100;0,400;0,940;0,051;0,350;0,013;0,043;;;0,029;0,013;0,680;0,013;0,120;;;0,096;0,100;0,064;0,013;0,760;0,035;0,210;0,130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oh Mdg in Stausee, Koversteinermühle;oh Mdg in Stausee, Koversteinermühle;Agger;2728;64,672;405667;5657533;2022;Wasser;Wasser, nicht filtriert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
